year,town,storey,flat_model,lease_rem,price cpi_adj
2012,ANG MO KIO,2,New Generation,68,423528.3764
2012,ANG MO KIO,2,New Generation,68,448830.0716
2012,ANG MO KIO,11,New Generation,66,475011.8258
2012,ANG MO KIO,11,Model A,80,550036.8525
2012,ANG MO KIO,5,New Generation,66,478532.0616
2012,ANG MO KIO,5,New Generation,67,484032.4302
2012,ANG MO KIO,11,New Generation,68,487332.6513
2012,ANG MO KIO,2,New Generation,65,492833.0198
2012,ANG MO KIO,2,New Generation,65,528035.3784
2012,ANG MO KIO,2,New Generation,65,497233.3146
2012,ANG MO KIO,11,New Generation,66,495033.1672
2012,ANG MO KIO,2,Model A,88,517034.6413
2012,ANG MO KIO,2,New Generation,69,506033.9043
2012,ANG MO KIO,2,Model A,88,532435.6732
2012,ANG MO KIO,5,New Generation,65,561037.5895
2012,ANG MO KIO,8,New Generation,69,528035.3784
2012,ANG MO KIO,8,New Generation,64,533535.7469
2012,ANG MO KIO,11,New Generation,64,572038.3266
2012,ANG MO KIO,5,New Generation,65,584015.9291
2012,ANG MO KIO,11,New Generation,64,544536.4839
2012,ANG MO KIO,11,New Generation,65,602840.3903
2012,ANG MO KIO,8,New Generation,65,610540.9062
2012,ANG MO KIO,2,Model A,93,580838.9162
2012,BEDOK,11,Model A,73,448830.0716
2012,BEDOK,2,Model A,74,456530.5875
2012,BEDOK,8,Model A,74,481832.2828
2012,BEDOK,5,New Generation,70,434529.1135
2012,BEDOK,8,Model A,70,506033.9043
2012,BEDOK,5,New Generation,68,442229.6294
2012,BEDOK,8,New Generation,72,443087.6869
2012,BEDOK,5,Premium Apartment,87,514834.4939
2012,BEDOK,5,Model A,83,515934.5676
2012,BEDOK,2,Premium Apartment,87,518134.715
2012,BEDOK,2,New Generation,72,451030.219
2012,BEDOK,8,New Generation,68,462030.9561
2012,BEDOK,8,Model A,72,524735.1573
2012,BEDOK,2,Improved,64,423528.3764
2012,BEDOK,5,New Generation,66,459830.8087
2012,BEDOK,5,New Generation,67,467531.3246
2012,BEDOK,5,New Generation,65,454330.4401
2012,BEDOK,5,New Generation,65,469731.472
2012,BEDOK,2,Simplified,74,431228.8923
2012,BEDOK,11,New Generation,70,473031.6931
2012,BEDOK,2,New Generation,66,475231.8405
2012,BEDOK,5,New Generation,67,476331.9142
2012,BEDOK,5,New Generation,65,478532.0616
2012,BEDOK,8,New Generation,65,478532.0616
2012,BEDOK,2,Improved,64,442229.6294
2012,BEDOK,11,New Generation,67,481832.2828
2012,BEDOK,11,Model A,80,551686.963
2012,BEDOK,14,Premium Apartment,87,561037.5895
2012,BEDOK,2,Model A,88,544536.4839
2012,BEDOK,8,New Generation,65,496683.2778
2012,BEDOK,8,Improved,63,444429.7768
2012,BEDOK,8,New Generation,67,500533.5357
2012,BEDOK,8,New Generation,66,511534.2728
2012,BEDOK,2,Simplified,72,467531.3246
2012,BEDOK,17,Improved,64,478532.0616
2012,BEDOK,8,New Generation,66,536835.968
2012,BEDOK,11,Simplified,73,495033.1672
2012,BISHAN,8,Improved,61,412527.6394
2012,BISHAN,2,Model A,79,530235.5258
2012,BISHAN,8,Model A,79,575338.5477
2012,BISHAN,8,Model A,77,544536.4839
2012,BISHAN,5,Simplified,74,454330.4401
2012,BISHAN,2,Simplified,72,492833.0198
2012,BISHAN,8,Model A,79,578638.7688
2012,BISHAN,5,Model A,79,599540.1692
2012,BISHAN,5,Model A,79,599540.1692
2012,BISHAN,2,Simplified,74,506033.9043
2012,BISHAN,5,Simplified,74,544536.4839
2012,BISHAN,8,Model A,72,683022.5625
2012,BISHAN,5,New Generation,72,612741.0537
2012,BUKIT BATOK,2,New Generation,75,403727.0497
2012,BUKIT BATOK,5,Model A,72,437829.3346
2012,BUKIT BATOK,2,Model A,72,561037.5895
2012,BUKIT BATOK,11,New Generation,75,412527.6394
2012,BUKIT BATOK,8,Model A,74,467531.3246
2012,BUKIT BATOK,2,New Generation,72,440029.482
2012,BUKIT BATOK,8,Simplified,73,399326.7549
2012,BUKIT BATOK,5,New Generation,72,442229.6294
2012,BUKIT BATOK,2,New Generation,73,457630.6613
2012,BUKIT BATOK,2,Model A,71,493809.8853
2012,BUKIT BATOK,11,Model A,72,500533.5357
2012,BUKIT BATOK,5,Model A,72,522535.0098
2012,BUKIT BATOK,2,Model A2,85,467531.3246
2012,BUKIT BATOK,11,Simplified,73,429028.7449
2012,BUKIT BATOK,2,Model A,91,502733.6832
2012,BUKIT BATOK,2,Model A,84,583039.0636
2012,BUKIT BATOK,14,Model A,91,533535.7469
2012,BUKIT BATOK,23,Model A,91,554437.1473
2012,BUKIT BATOK,17,Model A,91,555537.221
2012,BUKIT MERAH,2,Model A,71,558837.4421
2012,BUKIT MERAH,8,New Generation,70,569838.1792
2012,BUKIT MERAH,8,Improved,60,572038.3266
2012,BUKIT MERAH,11,New Generation,65,627042.0118
2012,BUKIT MERAH,2,Model A,90,641342.97
2012,BUKIT MERAH,2,Model A,92,677645.4022
2012,BUKIT MERAH,14,Model A,90,709547.5397
2012,BUKIT MERAH,20,Model A,92,804030.6701
2012,BUKIT MERAH,14,Model A,92,808554.1731
2012,BUKIT MERAH,23,Model A,92,811854.3942
2012,BUKIT MERAH,14,Model A,92,812831.2597
2012,BUKIT MERAH,17,Model A,90,731549.0138
2012,BUKIT MERAH,11,Model A,95,759050.8564
2012,BUKIT MERAH,26,Model A,90,756850.709
2012,BUKIT PANJANG,2,Model A,75,420228.1553
2012,BUKIT PANJANG,8,Model A,75,423528.3764
2012,BUKIT PANJANG,5,Model A,75,420228.1553
2012,BUKIT PANJANG,2,Model A,76,436729.2609
2012,BUKIT PANJANG,8,Model A,76,426828.5975
2012,BUKIT PANJANG,11,Model A,75,441129.5557
2012,BUKIT PANJANG,5,Simplified,75,363024.3226
2012,BUKIT PANJANG,5,Model A,85,448830.0716
2012,BUKIT PANJANG,11,Model A,74,456530.5875
2012,BUKIT PANJANG,8,Model A,76,457630.6613
2012,BUKIT PANJANG,2,Model A,86,451030.219
2012,BUKIT PANJANG,8,Model A,74,462030.9561
2012,BUKIT PANJANG,8,Model A,86,457630.6613
2012,BUKIT PANJANG,11,Model A,75,457630.6613
2012,BUKIT PANJANG,5,Simplified,75,374025.0597
2012,BUKIT PANJANG,5,Model A2,85,412527.6394
2012,BUKIT PANJANG,2,Simplified,74,382825.6493
2012,BUKIT PANJANG,5,Simplified,74,382825.6493
2012,BUKIT PANJANG,11,Simplified,75,385025.7967
2012,BUKIT PANJANG,2,Model A,85,486232.5776
2012,BUKIT PANJANG,14,Premium Apartment,89,456530.5875
2012,BUKIT PANJANG,5,Model A,86,506033.9043
2012,BUKIT PANJANG,14,Premium Apartment,89,478532.0616
2012,BUKIT PANJANG,5,Model A,88,478532.0616
2012,BUKIT PANJANG,11,Premium Apartment,88,484032.4302
2012,BUKIT PANJANG,11,Model A2,86,484032.4302
2012,BUKIT PANJANG,20,Model A,86,544536.4839
2012,BUKIT PANJANG,11,Premium Apartment,91,497233.3146
2012,BUKIT PANJANG,11,Premium Apartment,91,514834.4939
2012,BUKIT PANJANG,8,Premium Apartment,90,547836.7051
2012,BUKIT PANJANG,26,Premium Apartment,91,536395.9385
2012,BUKIT TIMAH,11,Model A,75,665544.5915
2012,CENTRAL AREA,5,Model A,90,539036.1154
2012,CENTRAL AREA,11,Improved,65,589639.5058
2012,CENTRAL AREA,23,Improved,68,613841.1274
2012,CENTRAL AREA,14,Model A,90,558837.4421
2012,CENTRAL AREA,8,Improved,65,616041.2748
2012,CHOA CHU KANG,2,Premium Apartment,87,388326.0178
2012,CHOA CHU KANG,5,Model A,80,446629.9242
2012,CHOA CHU KANG,11,Model A,71,423528.3764
2012,CHOA CHU KANG,8,Model A,86,418028.0079
2012,CHOA CHU KANG,8,Model A,86,423528.3764
2012,CHOA CHU KANG,2,Model A,80,456530.5875
2012,CHOA CHU KANG,11,Premium Apartment,86,436729.2609
2012,CHOA CHU KANG,5,Model A,77,445529.8505
2012,CHOA CHU KANG,2,Model A,79,444429.7768
2012,CHOA CHU KANG,2,Model A,83,437829.3346
2012,CHOA CHU KANG,8,Model A,81,465331.1772
2012,CHOA CHU KANG,14,Model A,86,431228.8923
2012,CHOA CHU KANG,8,Model A,86,442229.6294
2012,CHOA CHU KANG,2,Model A,80,451030.219
2012,CHOA CHU KANG,5,Model A,80,451030.219
2012,CHOA CHU KANG,14,Premium Apartment,87,451030.219
2012,CHOA CHU KANG,5,Model A,84,489532.7987
2012,CHOA CHU KANG,5,Model A2,85,424628.4501
2012,CHOA CHU KANG,11,Model A,80,495033.1672
2012,CHOA CHU KANG,8,Model A,77,500533.5357
2012,CHOA CHU KANG,11,Model A2,89,423528.3764
2012,CHOA CHU KANG,2,Model A,89,453230.3664
2012,CHOA CHU KANG,8,Model A,89,456530.5875
2012,CHOA CHU KANG,8,Model A,90,462030.9561
2012,CHOA CHU KANG,14,Model A,90,465331.1772
2012,CHOA CHU KANG,11,Model A,89,473031.6931
2012,CHOA CHU KANG,14,Model A,89,476331.9142
2012,CLEMENTI,5,New Generation,65,482932.3565
2012,CLEMENTI,8,New Generation,68,484032.4302
2012,CLEMENTI,8,New Generation,65,514834.4939
2012,CLEMENTI,14,New Generation,71,555537.221
2012,CLEMENTI,2,New Generation,65,541236.2628
2012,CLEMENTI,8,New Generation,65,599540.1692
2012,CLEMENTI,8,New Generation,65,605040.5377
2012,CLEMENTI,14,New Generation,65,605040.5377
2012,CLEMENTI,11,New Generation,66,599540.1692
2012,CLEMENTI,8,Model A,89,715047.9082
2012,GEYLANG,5,Model A,73,444429.7768
2012,GEYLANG,2,Model A,72,445529.8505
2012,GEYLANG,2,Model A,72,467531.3246
2012,GEYLANG,8,Simplified,73,419128.0816
2012,GEYLANG,14,Improved,62,473031.6931
2012,GEYLANG,2,New Generation,65,497233.3146
2012,GEYLANG,11,New Generation,63,544536.4839
2012,GEYLANG,14,Model A,84,605040.5377
2012,GEYLANG,5,Model A,71,629242.1592
2012,GEYLANG,2,Model A,87,657844.0756
2012,GEYLANG,2,Model A,87,597340.0218
2012,GEYLANG,14,Model A,87,671044.96
2012,GEYLANG,5,Model A,93,683145.7708
2012,HOUGANG,5,Model A,84,367424.6174
2012,HOUGANG,2,Model A,79,465331.1772
2012,HOUGANG,2,New Generation,73,405927.1971
2012,HOUGANG,8,Model A,74,473031.6931
2012,HOUGANG,2,Model A,72,467531.3246
2012,HOUGANG,5,Model A,74,463131.0298
2012,HOUGANG,2,Model A,86,451030.219
2012,HOUGANG,11,Model A,74,476331.9142
2012,HOUGANG,2,Model A,85,467531.3246
2012,HOUGANG,5,New Generation,68,429028.7449
2012,HOUGANG,14,Model A,86,478532.0616
2012,HOUGANG,8,Model A,86,489532.7987
2012,HOUGANG,11,Model A,76,500533.5357
2012,HOUGANG,2,Model A,79,511534.2728
2012,HOUGANG,2,Model A,84,506033.9043
2012,HOUGANG,2,Simplified,73,414177.7499
2012,HOUGANG,8,Simplified,73,419004.8733
2012,HOUGANG,5,Simplified,73,423528.3764
2012,HOUGANG,2,Simplified,72,429028.7449
2012,HOUGANG,8,Simplified,72,429028.7449
2012,HOUGANG,14,Model A,86,517034.6413
2012,HOUGANG,8,Model A,79,533535.7469
2012,HOUGANG,11,Model A,90,462030.9561
2012,HOUGANG,14,Simplified,74,434529.1135
2012,HOUGANG,2,Simplified,74,437829.3346
2012,HOUGANG,5,Simplified,75,448830.0716
2012,HOUGANG,11,Simplified,72,446629.9242
2012,HOUGANG,5,Model A,90,484032.4302
2012,HOUGANG,8,Model A,79,594039.8007
2012,HOUGANG,8,Model A,79,599540.1692
2012,JURONG EAST,8,New Generation,69,369624.7649
2012,JURONG EAST,11,New Generation,68,412527.6394
2012,JURONG EAST,8,Simplified,74,347623.2908
2012,JURONG EAST,5,New Generation,65,407027.2708
2012,JURONG EAST,5,New Generation,72,390526.1653
2012,JURONG EAST,8,Model A,70,490632.8724
2012,JURONG EAST,8,New Generation,70,480732.2091
2012,JURONG EAST,11,New Generation,70,458730.735
2012,JURONG EAST,5,New Generation,69,455430.5138
2012,JURONG EAST,5,Model A,85,506033.9043
2012,JURONG EAST,2,New Generation,80,470831.5457
2012,JURONG EAST,8,Model A,85,552236.9999
2012,JURONG EAST,17,Model A,90,489532.7987
2012,JURONG EAST,14,Model A2,85,510434.1991
2012,JURONG WEST,2,Model A,76,421328.229
2012,JURONG WEST,5,Model A,76,431228.8923
2012,JURONG WEST,2,Model A,76,401526.9023
2012,JURONG WEST,8,Model A,76,411427.5656
2012,JURONG WEST,5,Model A,80,429028.7449
2012,JURONG WEST,5,Model A,80,446629.9242
2012,JURONG WEST,2,Model A,78,426828.5975
2012,JURONG WEST,11,Model A,80,440029.482
2012,JURONG WEST,2,Model A,71,459830.8087
2012,JURONG WEST,5,Model A,80,484032.4302
2012,JURONG WEST,8,Model A,76,439906.2737
2012,JURONG WEST,5,Model A,71,440029.482
2012,JURONG WEST,5,Model A,77,440029.482
2012,JURONG WEST,5,Model A,71,440029.482
2012,JURONG WEST,14,Model A,78,454330.4401
2012,JURONG WEST,11,Model A,71,467531.3246
2012,JURONG WEST,2,New Generation,70,412527.6394
2012,JURONG WEST,2,New Generation,72,401526.9023
2012,JURONG WEST,11,Model A,72,457630.6613
2012,JURONG WEST,2,New Generation,72,408127.3445
2012,JURONG WEST,2,Model A,84,473031.6931
2012,JURONG WEST,2,New Generation,72,424628.4501
2012,JURONG WEST,5,New Generation,72,427928.6712
2012,JURONG WEST,2,Model A2,87,401526.9023
2012,JURONG WEST,5,New Generation,72,442229.6294
2012,JURONG WEST,8,Model A,71,492833.0198
2012,JURONG WEST,8,Model A,84,490632.8724
2012,JURONG WEST,2,Model A,89,434529.1135
2012,JURONG WEST,11,Model A2,88,412527.6394
2012,JURONG WEST,11,Simplified,72,410877.5288
2012,JURONG WEST,2,Model A,88,445529.8505
2012,JURONG WEST,8,Simplified,72,412527.6394
2012,JURONG WEST,8,Simplified,72,415827.8605
2012,JURONG WEST,8,Model A,84,500533.5357
2012,JURONG WEST,11,Model A,88,456530.5875
2012,JURONG WEST,11,Premium Apartment,85,525835.231
2012,JURONG WEST,8,Model A,88,476331.9142
2012,JURONG WEST,2,Premium Apartment,87,481832.2828
2012,JURONG WEST,2,Model A2,87,445529.8505
2012,JURONG WEST,5,Model A,89,477431.9879
2012,JURONG WEST,2,Premium Apartment,95,492833.0198
2012,JURONG WEST,11,Model A,87,477308.7797
2012,JURONG WEST,14,Premium Apartment,85,538912.9072
2012,JURONG WEST,11,Premium Apartment,85,543436.4102
2012,JURONG WEST,11,Model A,88,500533.5357
2012,JURONG WEST,17,Model A2,87,485132.5039
2012,KALLANG/WHAMPOA,14,New Generation,66,486232.5776
2012,KALLANG/WHAMPOA,11,Improved,61,506033.9043
2012,KALLANG/WHAMPOA,11,Improved,63,473031.6931
2012,KALLANG/WHAMPOA,8,Model A,86,594039.8007
2012,KALLANG/WHAMPOA,17,Model A,85,621541.6433
2012,KALLANG/WHAMPOA,11,Model A,71,682045.6971
2012,KALLANG/WHAMPOA,11,Simplified,74,539036.1154
2012,KALLANG/WHAMPOA,8,Model A,92,643543.1174
2012,KALLANG/WHAMPOA,5,Model A,93,688646.1393
2012,PASIR RIS,5,Model A,82,445529.8505
2012,PASIR RIS,5,Model A,80,448830.0716
2012,PASIR RIS,5,Model A,80,462030.9561
2012,PASIR RIS,5,Model A,80,464231.1035
2012,PASIR RIS,2,Model A,82,454330.4401
2012,PASIR RIS,11,Model A,77,499983.4989
2012,PASIR RIS,11,Model A,80,473911.7521
2012,PASIR RIS,8,Model A,75,467531.3246
2012,PASIR RIS,5,Model A,83,468631.3983
2012,PASIR RIS,8,Model A,76,511534.2728
2012,PASIR RIS,2,Model A,76,478532.0616
2012,PASIR RIS,11,Model A,83,506033.9043
2012,PASIR RIS,11,Model A,79,478532.0616
2012,PASIR RIS,14,Model A,82,484032.4302
2012,PASIR RIS,11,Model A,77,529135.4521
2012,PASIR RIS,11,Model A,83,487332.6513
2012,PASIR RIS,2,Model A,82,489532.7987
2012,PASIR RIS,5,Model A,75,489532.7987
2012,PASIR RIS,14,Model A,80,492833.0198
2012,PASIR RIS,11,Model A,83,489532.7987
2012,PASIR RIS,11,Model A,82,500533.5357
2012,PASIR RIS,2,Model A,82,544536.4839
2012,PASIR RIS,11,Model A,76,497233.3146
2012,PASIR RIS,11,Model A,80,528035.3784
2012,PUNGGOL,5,Premium Apartment,91,477982.0248
